Property Name,Unit,Property,Event,Move Out Date

17FITZ,95-08,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,11/04/2025
16BEL4861,146,"16BEL4861 - 4861 N Blackwelder Ave Oklahoma City, OK 73118",Move-out,11/05/2025
14LOG600,G1,"14LOG600 - 600 S. Logan Street Denver, CO 80209",Move-out,11/06/2025
13MOL1380,305,"13MOL1380 - 1380 Moline Street Aurora, CO 80010",Move-out,11/06/2025
TEST - Casa de Verde,03,"TEST - Casa de Verde - 11821 E Kentucky Ave Aurora, CO 80011",Move-out,11/09/2025
18Greenleaf,403,"18Greenleaf - 1571 Beeler Street Aurora, CO 80010",Move-out,11/13/2025
18Greenleaf,411,"18Greenleaf - 1571 Beeler Street Aurora, CO 80010",Move-out,11/13/2025
13LAF2139,4,"13LAF2139 - 2139-2153 N. Lafayette Street Denver, CO 80205",Move-out,11/15/2025
13PAR1933,1933,"13PAR1933 - 1933-1935 Paris Street Denver, CO 80010",Move-out,11/17/2025
12MOU10597,,"12MOU10597 - 10597 Mount Evans Drive Peyton, CO 80831",Move-out,11/20/2025
13RAR1129,B,"13RAR1129 - 1129 S. Raritan Street Denver, CO 80223",Move-out,11/22/2025
13FOU10444,202,"13FOU10444 - 10444 E. 14th Avenue Aurora, CO 80010",Move-out,11/25/2025
14MIL3408,3412,"14MIL3408 - 3408-3412 Milwaukee Street Denver, CO 80205",Move-out,11/26/2025
17FITZ,00-09,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,11/26/2025
13LAF2139,5,"13LAF2139 - 2139-2153 N. Lafayette Street Denver, CO 80205",Move-out,11/30/2025
13EMP2328,2328-2,"13EMP2328 - 2328 Emporia Street Aurora, CO 80010",Move-out,11/30/2025
16BEL4861,109,"16BEL4861 - 4861 N Blackwelder Ave Oklahoma City, OK 73118",Move-out,11/30/2025
16BEL4861,247,"16BEL4861 - 4861 N Blackwelder Ave Oklahoma City, OK 73118",Move-out,11/30/2025
18Villa Verde,208,"18Villa Verde - 1642 Alton Aurora, CO 80012",Move-out,11/30/2025
17FITZ,55-04,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,12/01/2025
13MOL1380,202,"13MOL1380 - 1380 Moline Street Aurora, CO 80010",Move-out,12/02/2025
17FITZ,00-02,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,12/02/2025
17FITZ,10-05,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,12/02/2025
17FITZ,95-01,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,12/12/2025
14COL13214,,"14COL13214 - 13214 Columbine Circle Thornton, CO 80241",Move-out,12/16/2025
17FITZ,55-11,"17FITZ - 14155 E. Montview Boulevard Aurora, CO 80011",Move-out,12/16/2025
13JOL1601,6,"13JOL1601 - 1601-1645 Joliet Street Aurora, CO 80010",Move-out,12/19/2025
14PEA1720,A,"14PEA1720 - 1720 N. Pearl Street Denver, CO 80203",Move-out,12/21/2025

Total,,,,
