Property Name,Unit,Unit Status,Days Vacant,Rent Ready,Next Move In,Posted To Website,Posted To Internet,Property

14PEA1720,A,Vacant-Unrented,9,No,,No,No,"14PEA1720 - 1720 N. Pearl Street Denver, CO 80203"
14LOG1000,Garage-104,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,Garage-203,Vacant-Unrented,91,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,Garage-207,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG600,G1,Vacant-Unrented,54,Yes,,No,No,"14LOG600 - 600 S. Logan Street Denver, CO 80209"
14LOG1000,1,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,2,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,3,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1120,3,Vacant-Unrented,91,No,,Yes,Yes,"14LOG1120 - 1120 S. Logan Street Denver, CO 80210"
TEST - Casa de Verde,04,Notice-Unrented,,Yes,,No,No,"TEST - Casa de Verde - 11821 E Kentucky Ave Aurora, CO 80011"
14LOG1000,4,Vacant-Unrented,121,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,5,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,6,Vacant-Unrented,106,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1120,6,Vacant-Unrented,60,No,,No,No,"14LOG1120 - 1120 S. Logan Street Denver, CO 80210"
14LOG1000,7,Vacant-Unrented,148,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,8,Vacant-Unrented,60,Yes,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,9,Vacant-Unrented,85,Yes,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,10,Vacant-Unrented,70,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,11,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,12,Vacant-Unrented,86,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1120,12,Vacant-Unrented,103,Yes,,Yes,Yes,"14LOG1120 - 1120 S. Logan Street Denver, CO 80210"
14LOG1000,13,Vacant-Unrented,121,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,14,Vacant-Unrented,149,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14COL13214,14COL13214,Vacant-Unrented,14,Yes,,No,No,"14COL13214 - 13214 Columbine Circle Thornton, CO 80241"
14KIN1928	,14KIN1928	,Vacant-Rented,152,Yes,01/15/2026,No,No,"14KIN1928	 - 1928 King Way Denver, CO 80204"
14MOC1119,14MOC1119,Vacant-Unrented,121,No,,No,No,"14MOC1119 - 1119 Mockingbird Street Brighton, CO 80601"
14PER1320,14PER1320,Vacant-Rented,60,Yes,01/01/2026,Yes,Yes,"14PER1320 - 1320 Perry Street Denver, CO 80204"
14TEN3286,14TEN3286,Vacant-Unrented,152,No,,No,No,"14TEN3286 - 3286 Tennyson Street Denver, CO 80212"
14TUR7555,14TUR7555,Vacant-Unrented,60,No,,No,No,"14TUR7555 - 7555 Turner Drive Denver, CO 80221"
14VIL12360,14VIL12360,Vacant-Unrented,395,No,,No,No,"14VIL12360 - 12360 Village Circle Brighton, CO 80603"
14LOG1000,15,Vacant-Unrented,60,Yes,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,16,Vacant-Unrented,104,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1120,16,Vacant-Unrented,152,Yes,,Yes,Yes,"14LOG1120 - 1120 S. Logan Street Denver, CO 80210"
14LOG1000,17,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,18,Vacant-Unrented,130,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,19,Vacant-Unrented,60,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14LOG1000,20,Vacant-Unrented,75,No,,No,No,"14LOG1000 - 1000 S. Logan Street Denver, CO 80209"
14FED2700,101,Vacant-Unrented,117,No,,Yes,Yes,"14FED2700 - 2700 N. Federal Blvd Denver, CO 80211"
14FED2700,102,Vacant-Unrented,131,No,,Yes,Yes,"14FED2700 - 2700 N. Federal Blvd Denver, CO 80211"
